train-A9164	1:ggg 2:_ 3:_ 4:_ 5:o 6:ooo 7:gggg	throw out two units of first beaker	1:g 2:_ 3:_ 4:_ 5:o 6:ooo 7:gggg	throw out fifth beaker	1:g 2:_ 3:_ 4:_ 5:_ 6:ooo 7:gggg	throw out first one	1:_ 2:_ 3:_ 4:_ 5:_ 6:ooo 7:gggg	throw out orange beaker	1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:gggg	throw out one unit of green	1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:ggg
train-A9165	1:yy 2:ooo 3:pppp 4:o 5:gggg 6:rrr 7:ppp	throw out one unit of last beaker	1:yy 2:ooo 3:pppp 4:o 5:gggg 6:rrr 7:pp	throw out three units of third one	1:yy 2:ooo 3:p 4:o 5:gggg 6:rrr 7:pp	pour fourth beaker into it	1:yy 2:ooo 3:po 4:_ 5:gggg 6:rrr 7:pp	it turns brown	1:yy 2:ooo 3:bb 4:_ 5:gggg 6:rrr 7:pp	throw out one unit of it	1:yy 2:ooo 3:b 4:_ 5:gggg 6:rrr 7:pp
train-A9166	1:g 2:rrr 3:_ 4:rrrr 5:g 6:_ 7:ppp	throw out one unit of second beaker	1:g 2:rr 3:_ 4:rrrr 5:g 6:_ 7:ppp	pour green beaker into second one	1:_ 2:rrg 3:_ 4:rrrr 5:g 6:_ 7:ppp	throw out fifth beaker	1:_ 2:rrg 3:_ 4:rrrr 5:_ 6:_ 7:ppp	second one turns brown	1:_ 2:bbb 3:_ 4:rrrr 5:_ 6:_ 7:ppp	throw out last beaker	1:_ 2:bbb 3:_ 4:rrr 5:_ 6:_ 7:ppp
train-A9167	1:ggg 2:gggg 3:r 4:_ 5:rr 6:_ 7:ggg	throw out two units of green beaker	1:g 2:gggg 3:r 4:_ 5:rr 6:_ 7:ggg	pour third beaker into first one	1:gr 2:gggg 3:_ 4:_ 5:rr 6:_ 7:ggg	it turns brown	1:bb 2:gggg 3:_ 4:_ 5:rr 6:_ 7:ggg	throw out brown beaker	1:_ 2:gggg 3:_ 4:_ 5:rr 6:_ 7:ggg	throw out one red	1:_ 2:gggg 3:_ 4:_ 5:r 6:_ 7:ggg
train-A9168	1:r 2:ooo 3:rrr 4:oo 5:gg 6:yyyy 7:o	throw out three parts of the yellow beaker	1:r 2:ooo 3:rrr 4:oo 5:gg 6:y 7:o	throw out all of the first red beaker	1:_ 2:ooo 3:rrr 4:oo 5:gg 6:y 7:o	pour the yellow beaker into the second orange beaker	1:_ 2:ooo 3:rrr 4:ooy 5:gg 6:_ 7:o	throw out all of the first orange beaker	1:_ 2:_ 3:rrr 4:ooy 5:gg 6:_ 7:o	pour the last orange beaker into the green beaker	1:_ 2:_ 3:rrr 4:ooy 5:ggo 6:_ 7:_
train-A9169	1:rrr 2:yyyy 3:gggg 4:p 5:o 6:g 7:rrrr	throw out first beaker	1:_ 2:yyyy 3:gggg 4:p 5:o 6:g 7:rrrr	pour sixth beaker into orange one	1:_ 2:yyyy 3:gggg 4:p 5:og 6:_ 7:rrrr	pour purple beaker into it	1:_ 2:yyyy 3:gggg 4:_ 5:ogp 6:_ 7:rrrr	it turns brown	1:_ 2:yyyy 3:gggg 4:_ 5:bbb 6:_ 7:rrrr	throw out red beaker	1:_ 2:yyyy 3:gggg 4:_ 5:bbb 6:_ 7:_
train-A9171	1:y 2:gg 3:ppp 4:_ 5:pppp 6:_ 7:_	throw out one unit of third beaker	1:y 2:gg 3:pp 4:_ 5:pppp 6:_ 7:_	throw out yellow one	1:_ 2:gg 3:pp 4:_ 5:pppp 6:_ 7:_	throw out one unit of green	1:_ 2:g 3:pp 4:_ 5:pppp 6:_ 7:_	pour green into third beaker	1:_ 2:_ 3:ppg 4:_ 5:pppp 6:_ 7:_	throw out one unit of fifth beaker	1:_ 2:_ 3:ppg 4:_ 5:ppp 6:_ 7:_
train-A9172	1:_ 2:y 3:_ 4:pppp 5:oo 6:_ 7:ppp	throw out yellow beaker	1:_ 2:_ 3:_ 4:pppp 5:oo 6:_ 7:ppp	throw out last one	1:_ 2:_ 3:_ 4:pppp 5:oo 6:_ 7:_	throw out orange one	1:_ 2:_ 3:_ 4:pppp 5:_ 6:_ 7:_	throw out three units of remaining beaker	1:_ 2:_ 3:_ 4:p 5:_ 6:_ 7:_	throw the rest out	1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9173	1:_ 2:gggg 3:pppp 4:ooo 5:_ 6:gg 7:oooo	throw out two purple	1:_ 2:gggg 3:pp 4:ooo 5:_ 6:gg 7:oooo	throw out one unit of fourth beaker	1:_ 2:gggg 3:pp 4:oo 5:_ 6:gg 7:oooo	throw out one unit of last beaker	1:_ 2:gggg 3:pp 4:oo 5:_ 6:gg 7:ooo	throw out three units of second beaker	1:_ 2:g 3:pp 4:oo 5:_ 6:gg 7:ooo	pour purple beaker into it	1:_ 2:gpp 3:_ 4:oo 5:_ 6:gg 7:ooo
train-A9174	1:gggg 2:rrr 3:ppp 4:rrrr 5:_ 6:r 7:_	throw out fourth beaker	1:gggg 2:rrr 3:ppp 4:_ 5:_ 6:r 7:_	throw out green one	1:_ 2:rrr 3:ppp 4:_ 5:_ 6:r 7:_	throw out sixth beaker	1:_ 2:rrr 3:ppp 4:_ 5:_ 6:_ 7:_	throw out two red units	1:_ 2:r 3:ppp 4:_ 5:_ 6:_ 7:_	throw out two purple ones	1:_ 2:r 3:p 4:_ 5:_ 6:_ 7:_
