2049	1:__ 2:__ 3:__ 4:__ 5:__ 6:bp 7:__ 8:__ 9:yb 10:__	the person with the yellow shirt and blue hat moves two spots to the left	1:__ 2:__ 3:__ 4:__ 5:__ 6:bp 7:yb 8:__ 9:__ 10:__
2050	1:yr 2:__ 3:__ 4:__ 5:__ 6:bb 7:__ 8:__ 9:__ 10:__	the blue guy moved next to the yellow guy	1:yr 2:bb 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__
2051	1:__ 2:__ 3:__ 4:__ 5:oy 6:gr 7:__ 8:__ 9:__ 10:__	a green man appears on the far left	1:g_ 2:__ 3:__ 4:__ 5:oy 6:gr 7:__ 8:__ 9:__ 10:__
2052	1:op 2:gb 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	a man in a blue hat and green shirt disappears	1:op 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__
2054	1:__ 2:__ 3:__ 4:__ 5:go 6:__ 7:__ 8:__ 9:ob 10:__	the person with the yellow shirt and blue hat moves to stand on the left side of the woman in green with the yellow hat	1:__ 2:__ 3:__ 4:ob 5:go 6:__ 7:__ 8:__ 9:__ 10:__
2056	1:__ 2:__ 3:__ 4:ro 5:__ 6:__ 7:__ 8:__ 9:__ 10:yy	the red shirt guy moves to the far left	1:ro 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:yy
2057	1:gp 2:__ 3:__ 4:rp 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	the man in the green shirt moves to the right of the man in the red shirt	1:__ 2:__ 3:__ 4:rp 5:gp 6:__ 7:__ 8:__ 9:__ 10:__
2058	1:__ 2:__ 3:yo 4:__ 5:__ 6:__ 7:__ 8:bp 9:__ 10:__	the person in blue moves to the right one space	1:__ 2:__ 3:yo 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:bp
2059	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:gr 9:__ 10:oo	the man in the orange hat disappears	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:gr 9:__ 10:__
2060	1:go 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:bp	the green guy moved one spot right	1:__ 2:go 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:bp
